Year,Jurisdiction,Month,Area (hectares),Number
1996,Manitoba,September,13811.2,23
1997,Manitoba,October,3.0,1
1997,Manitoba,April,100.7,8
1997,Manitoba,May,943.2,83
1997,Manitoba,June,7365.4,87
1997,Manitoba,July,18738.2,102
1997,Manitoba,August,14637.8,83
1997,Manitoba,September,10.6,8
1998,Manitoba,October,0.1,1
1998,Manitoba,November,3.2,1
1998,Manitoba,April,4262.3,110
1998,Manitoba,May,245.8,51
1998,Manitoba,June,174508.6,52
1998,Manitoba,July,111672.7,136
1998,Manitoba,August,42853.2,106
1998,Manitoba,September,171.3,50
1999,Manitoba,January,0.4,2
1999,Manitoba,October,1.7,5
1999,Manitoba,April,18201.7,133
1999,Manitoba,May,34930.6,104
1999,Manitoba,June,24762.9,115
1999,Manitoba,July,7269.6,125
1999,Manitoba,August,25227.8,112
1999,Manitoba,September,58.8,17
2004,Manitoba,April,84.0,5
2004,Manitoba,May,275.5,8
2004,Manitoba,June,22.0,2
2004,Manitoba,July,25105.3,35
2004,Manitoba,August,312.1,2
2005,Manitoba,October,0.2,2
2005,Manitoba,April,926.5,30
2005,Manitoba,May,126.2,31
2005,Manitoba,June,3191.7,22
2005,Manitoba,July,67982.8,140
2005,Manitoba,August,452.8,21
2005,Manitoba,September,0.4,2
2006,Manitoba,October,130.0,6
2006,Manitoba,November,2690.0,1
2006,Manitoba,April,339.4,44
2006,Manitoba,May,316.6,26
2006,Manitoba,June,149288.9,237
2006,Manitoba,July,2078.2,172
2006,Manitoba,August,11058.2,115
2006,Manitoba,September,149.0,81
2007,Manitoba,October,10.0,1
2007,Manitoba,April,3482.1,37
2007,Manitoba,May,1073.1,53
2007,Manitoba,June,1928.5,71
2007,Manitoba,July,329558.6,161
2007,Manitoba,August,74.6,50
2007,Manitoba,September,153.9,9
2008,Manitoba,October,40.5,2
2008,Manitoba,April,2199.7,18
2008,Manitoba,May,70975.7,154
2008,Manitoba,June,27867.3,123
2008,Manitoba,July,10181.3,40
2008,Manitoba,August,39407.3,54
2008,Manitoba,September,0.8,6
2009,Manitoba,October,46.3,17
2009,Manitoba,April,0.4,2
2009,Manitoba,May,1871.0,35
2009,Manitoba,June,692.7,72
2009,Manitoba,July,110.1,21
2009,Manitoba,August,19.2,11
2009,Manitoba,September,132.3,26
2010,Manitoba,April,3994.5,90
2010,Manitoba,May,423.4,62
2010,Manitoba,June,3923.2,79
2010,Manitoba,July,24216.2,211
2010,Manitoba,August,32700.9,115
2010,Manitoba,September,122235.9,26
2011,Manitoba,October,10744.4,26
2011,Manitoba,November,34026.0,6
2011,Manitoba,April,20.9,5
2011,Manitoba,May,74.2,37
2011,Manitoba,June,208.6,38
2011,Manitoba,July,48765.0,104
2011,Manitoba,August,32829.7,82
