,Year,Jurisdiction,Month,Area (hectares),Number,ONI,Phase,DateTime,MeanNum,MeanArea,anomalyArea,anomalyNumber
808,2006,Saskatchewan,May,1708.24,56,-0.14,N,2006-05-01,132.0,82480.8007005367,-3.877101946758523,-0.8574502318512216
809,2006,Saskatchewan,June,405613.53,203,-0.03,N,2006-06-01,139.5,240441.73137799994,0.5229230306903402,0.375141377780367
810,2006,Saskatchewan,July,32516.1,66,0.1,N,2006-07-01,123.46666666666667,92916.68320466668,-1.049967860805021,-0.6263164720774891
811,2006,Saskatchewan,August,319933.64,35,0.3,N,2006-08-01,92.06666666666666,61460.80761933333,1.6497139021042104,-0.9671648908176683
812,2006,Yukon,May,1.52,3,-0.14,N,2006-05-01,17.133333333333333,14600.006000000001,-9.170066883797062,-1.7424135951249
813,2006,Yukon,June,42993.48,32,-0.03,N,2006-06-01,46.266666666666666,110718.75306666669,-0.9459447534736406,-0.36868585660486786
814,2006,Yukon,July,51466.51,36,0.1,N,2006-07-01,36.5,52139.65806666666,-0.01299454562245724,-0.013793322132335873
815,2006,Yukon,August,571.21,5,0.3,N,2006-08-01,15.9,7316.592333333331,-2.550143052455367,-1.1568811967920856
816,2007,Alberta,May,925.69,233,-0.38,N,2007-05-01,293.3,109081.34033333331,-4.76930971912271,-0.2301575224177049
817,2007,Alberta,June,22923.54,257,-0.47,N,2007-06-01,246.3,43903.09533333333,-0.6498204961453631,0.04252577976872761
818,2007,Alberta,July,79316.75,394,-0.56,L,2007-07-01,262.4,27698.73566666666,1.0520625611904137,0.40648085222799996
819,2007,Alberta,August,7.05,157,-0.81,L,2007-08-01,179.2,14241.275333333331,-7.610872124056632,-0.13225669519252195
820,2007,British Columbia,May,536.83,159,-0.38,N,2007-05-01,173.93333333333334,10548.055033333332,-2.978015294046269,-0.08976788181428687
821,2007,British Columbia,June,9627.606,108,-0.47,N,2007-06-01,213.46666666666667,16654.6782,-0.5480565531603567,-0.6813494653302301
822,2007,British Columbia,July,12754.767,612,-0.56,L,2007-07-01,490.9,97810.56520000003,-2.0371275157551705,0.22049184144831935
823,2007,British Columbia,August,5578.425,506,-0.81,L,2007-08-01,646.1333333333333,39134.222799999996,-1.9480908691123604,-0.24446921154674073
