Year,Location,Fire size class,Area_hectares,Number,Number_Percentage
2004,BC,10 000 - 100 000 ha,122332.0,6,0.01057902531913393
2004,BC,10.1 - 100 ha,4028.46,113,0.19923831017702237
2004,BC,100.1 - 1 000 ha,17071.5,50,0.08815854432611608
2004,BC,1000 - 10 000 ha,75720.0,21,0.03702658861696876
2004,BC,Up to 0.1 ha,35.547,1484,2.6165455955991255
2005,BC,0.11 - 1.0 ha,94.84,215,0.3790817406022992
2005,BC,1.1 - 10 ha,424.45,122,0.21510684815572323
2005,BC,10 000 - 100 000 ha,12371.0,1,0.0017631708865223218
2005,BC,10.1 - 100 ha,1692.5,49,0.08639537343959376
2005,BC,100.1 - 1 000 ha,5498.5,18,0.03173707595740179
2005,BC,1000 - 10 000 ha,14844.0,4,0.007052683546089287
2005,BC,Up to 0.1 ha,16.776,585,1.0314549686155583
2006,BC,0.11 - 1.0 ha,191.47,435,0.76697933563721
2006,BC,1.1 - 10 ha,922.65,280,0.4936878482262501
2006,BC,10 000 - 100 000 ha,45111.5,4,0.007052683546089287
2006,BC,10.1 - 100 ha,4270.0,128,0.2256858734748572
2006,BC,100.1 - 1 000 ha,19301.1,64,0.1128429367374286
2006,BC,1000 - 10 000 ha,69311.6,21,0.03702658861696876
2006,BC,Up to 0.1 ha,42.472,1628,2.8704422032583397
2007,BC,0.11 - 1.0 ha,135.8,346,0.6100571267367233
2007,BC,1.1 - 10 ha,457.41,134,0.2362648987939911
2007,BC,10.1 - 100 ha,1934.4,55,0.0969743987587277
2007,BC,100.1 - 1 000 ha,4916.4,16,0.02821073418435715
2007,BC,1000 - 10 000 ha,22009.0,7,0.012342196205656252
2007,BC,Up to 0.1 ha,32.494,1049,1.8495662599619156
2008,BC,0.11 - 1.0 ha,157.107,387,0.6823471330841385
2008,BC,1.1 - 10 ha,591.71,169,0.2979758798222724
2008,BC,10.1 - 100 ha,2426.6,71,0.12518513294308484
2008,BC,100.1 - 1 000 ha,3490.2,15,0.026447563297834827
2008,BC,1000 - 10 000 ha,6648.0,2,0.0035263417730446436
2008,BC,Up to 0.1 ha,33.671,1381,2.4349389942873265
2009,BC,0.11 - 1.0 ha,242.093,545,0.9609281331546654
2009,BC,1.1 - 10 ha,889.77,258,0.454898088722759
2009,BC,10 000 - 100 000 ha,110678.0,3,0.005289512659566965
2009,BC,10.1 - 100 ha,6120.46,162,0.2856336836166161
2009,BC,100.1 - 1 000 ha,29299.07,81,0.14281684180830806
2009,BC,1000 - 10 000 ha,100067.5,30,0.05289512659566965
2009,BC,Up to 0.1 ha,46.575,1970,3.4734466464489735
2010,BC,0.11 - 1.0 ha,139.44,333,0.5871359052119332
2010,BC,1.1 - 10 ha,813.49,217,0.3826080823753438
2010,BC,10 000 - 100 000 ha,206914.7,9,0.015868537978700897
2010,BC,10.1 - 100 ha,3251.79,98,0.17279074687918752
2010,BC,100.1 - 1 000 ha,14180.5,43,0.07581634812045984
2010,BC,1000 - 10 000 ha,111844.9,32,0.0564214683687143
2010,BC,Up to 0.1 ha,22.378,957,1.687354538401862
2011,BC,0.11 - 1.0 ha,61.09,131,0.23097538613442414
2011,BC,1.1 - 10 ha,302.9,79,0.13929050003526341
2011,BC,10 000 - 100 000 ha,11000.0,1,0.0017631708865223218
2011,BC,10.1 - 100 ha,710.4,22,0.038789759503491075
2011,BC,100.1 - 1 000 ha,480.0,3,0.005289512659566965
2011,BC,Up to 0.1 ha,8.495,410,0.7229000634741519
2012,BC,0.11 - 1.0 ha,143.894,331,0.5836095634388885
2012,BC,1.1 - 10 ha,728.76,193,0.3402919810988081
2012,BC,10 000 - 100 000 ha,37048.1,2,0.0035263417730446436
2012,BC,10.1 - 100 ha,2514.53,93,0.16397489244657593
2012,BC,100.1 - 1 000 ha,8520.8,24,0.04231610127653572
2012,BC,1000 - 10 000 ha,53139.2,15,0.026447563297834827
2012,BC,Up to 0.1 ha,21.373,982,1.73143381056492
2013,BC,0.11 - 1.0 ha,149.787,353,0.6223993229423795
2013,BC,1.1 - 10 ha,746.96,195,0.3438183228718527
2013,BC,10.1 - 100 ha,2935.4,85,0.14986952535439735
2013,BC,100.1 - 1 000 ha,4015.3,15,0.026447563297834827
2013,BC,1000 - 10 000 ha,10429.6,5,0.00881585443261161
2013,BC,Up to 0.1 ha,26.052,1214,2.1404894562380985
2014,BC,0.11 - 1.0 ha,126.277,302,0.5324776077297412
2014,BC,1.1 - 10 ha,695.69,187,0.3297129557796742
2014,BC,10 000 - 100 000 ha,175698.8,5,0.00881585443261161
2014,BC,10.1 - 100 ha,2732.5,87,0.153395867127442
2014,BC,100.1 - 1 000 ha,10125.3,31,0.05465829748219198
2014,BC,1000 - 10 000 ha,46427.51,16,0.02821073418435715
2014,BC,Over 100 000,133100.0,1,0.0017631708865223218
2014,BC,Up to 0.1 ha,20.109,840,1.4810635446787501
2015,BC,0.11 - 1.0 ha,163.325,384,0.6770576204245715
2015,BC,1.1 - 10 ha,735.92,223,0.3931871076944778
2015,BC,10 000 - 100 000 ha,163064.2,9,0.015868537978700897
2015,BC,10.1 - 100 ha,2974.1,85,0.14986952535439735
2015,BC,100.1 - 1 000 ha,17505.47,52,0.09168488609916073
2015,BC,1000 - 10 000 ha,96395.8,28,0.04936878482262501
2015,BC,Up to 0.1 ha,25.446,1082,1.9077508992171521
2016,BC,0.11 - 1.0 ha,96.307,208,0.3667395443966429
2016,BC,1.1 - 10 ha,383.11,106,0.1868961139713661
2016,BC,10 000 - 100 000 ha,78439.0,2,0.0035263417730446436
2016,BC,10.1 - 100 ha,2346.34,74,0.13047464560265182
2016,BC,100.1 - 1 000 ha,8773.8,25,0.04407927216305804
2016,BC,1000 - 10 000 ha,10323.0,2,0.0035263417730446436
2016,BC,Up to 0.1 ha,16.074,651,1.1478242471260316
2017,BC,0.11 - 1.0 ha,125.326,279,0.4919246773397278
2017,BC,1.1 - 10 ha,559.89,156,0.2750546582974822
2017,BC,10 000 - 100 000 ha,139218.5,8,0.014105367092178574
2017,BC,10.1 - 100 ha,3244.24,84,0.14810635446787504
2017,BC,100.1 - 1 000 ha,14906.29,44,0.07757951900698215
2017,BC,1000 - 10 000 ha,105892.6,34,0.059947810141758935
2017,BC,Over 100 000,952175.0,3,0.005289512659566965
2017,BC,Up to 0.1 ha,17.362,741,1.3065096269130403
2018,BC,0.11 - 1.0 ha,171.443,412,0.7264264052471966
2018,BC,1.1 - 10 ha,1000.72,248,0.43726637985753586
2018,BC,10 000 - 100 000 ha,736723.49,22,0.038789759503491075
2018,BC,10.1 - 100 ha,7291.928,195,0.3438183228718527
2018,BC,100.1 - 1 000 ha,48626.62,135,0.23802806968051343
2018,BC,1000 - 10 000 ha,181394.96,59,0.10402708230481698
2018,BC,Over 100 000,378769.0,3,0.005289512659566965
2018,BC,Up to 0.1 ha,23.818,1015,1.7896184498201566
2019,BC,0.11 - 1.0 ha,70.506,177,0.31208124691445094
2019,BC,1.1 - 10 ha,448.5,113,0.19923831017702237
